account_id,actual_label,predicted_label,risk_score,risk_category,top_shap_feature_1,top_shap_value_1,top_shap_feature_2,top_shap_value_2,top_shap_feature_3,top_shap_value_3,recommended_action,alert_timestamp,isolation_anomaly_score,is_anomaly,final_suspicious
15,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4166,F3534,-0.1986,NO ACTION NEEDED,2026-06-05 22:50:52,0.3401863059019561,0,0
16,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3534,-0.1284,NO ACTION NEEDED,2026-06-05 22:50:52,0.3726273674128868,0,0
17,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4157,F3898,-0.2706,NO ACTION NEEDED,2026-06-05 22:50:52,0.3635263773017554,0,0
18,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4143,F3898,-0.2201,NO ACTION NEEDED,2026-06-05 22:50:52,0.3483029009219793,0,0
19,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4142,F3898,-0.3629,NO ACTION NEEDED,2026-06-05 22:50:52,0.3832843714459709,0,0
20,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F3898,-0.2264,NO ACTION NEEDED,2026-06-05 22:50:52,0.3605891405487387,0,0
21,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F950,-0.2495,NO ACTION NEEDED,2026-06-05 22:50:52,0.3577087102850524,0,0
22,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F3898,-0.2826,NO ACTION NEEDED,2026-06-05 22:50:52,0.3451679677242516,0,0
23,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.415,F3898,-0.1901,NO ACTION NEEDED,2026-06-05 22:50:52,0.3566728795079963,0,0
24,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F950,-0.1335,NO ACTION NEEDED,2026-06-05 22:50:52,0.3674039932344182,0,0
25,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4141,F3898,-0.3084,NO ACTION NEEDED,2026-06-05 22:50:52,0.3734352523810134,0,0
26,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.3764,F3898,-0.3057,NO ACTION NEEDED,2026-06-05 22:50:52,0.3633061852124727,0,0
27,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4157,F1921,-0.1459,NO ACTION NEEDED,2026-06-05 22:50:52,0.3760608844605487,0,0
28,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4172,F3898,0.0931,NO ACTION NEEDED,2026-06-05 22:50:52,0.3850088729044572,0,0
29,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4146,F3898,-0.2335,NO ACTION NEEDED,2026-06-05 22:50:52,0.4728075431860711,0,0
30,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3203,F1165,0.3273,NO ACTION NEEDED,2026-06-05 22:50:52,0.4064508122566411,0,0
31,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F3898,-0.263,NO ACTION NEEDED,2026-06-05 22:50:52,0.352410551897357,0,0
32,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4146,F1921,-0.1343,NO ACTION NEEDED,2026-06-05 22:50:52,0.3446967323270307,0,0
33,0,0,0.2,SAFE,Unnamed__0,-5.1403,F3912,-1.3101,F1165,0.3489,NO ACTION NEEDED,2026-06-05 22:50:52,0.3786681912183048,0,0
34,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4151,F950,-0.1221,NO ACTION NEEDED,2026-06-05 22:50:52,0.3420426216410927,0,0
35,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4161,F3898,-0.3248,NO ACTION NEEDED,2026-06-05 22:50:52,0.3594506502242074,0,0
36,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4168,F3898,-0.1975,NO ACTION NEEDED,2026-06-05 22:50:52,0.339190357719823,0,0
37,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.4172,F950,-0.1773,NO ACTION NEEDED,2026-06-05 22:50:52,0.3944018262943933,0,0
38,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.4169,F3898,0.133,NO ACTION NEEDED,2026-06-05 22:50:52,0.3474080682145275,0,0
39,0,0,0.12,SAFE,Unnamed__0,-5.1403,F3912,-1.4168,F1863,-0.1681,NO ACTION NEEDED,2026-06-05 22:50:52,0.4834722934358538,0,0
40,0,0,0.14,SAFE,Unnamed__0,-5.1403,F3912,-1.413,F3898,0.1462,NO ACTION NEEDED,2026-06-05 22:50:52,0.3814234676947922,0,0
41,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4143,F3534,-0.2078,NO ACTION NEEDED,2026-06-05 22:50:52,0.4953775680690309,0,0
42,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F3898,-0.2443,NO ACTION NEEDED,2026-06-05 22:50:52,0.3725021800973377,0,0
43,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F950,-0.1824,NO ACTION NEEDED,2026-06-05 22:50:52,0.3681018340462992,0,0
44,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F3534,-0.2047,NO ACTION NEEDED,2026-06-05 22:50:52,0.3535619234830695,0,0
45,0,0,0.11,SAFE,Unnamed__0,-5.1403,F3912,-1.2966,F1165,0.3872,NO ACTION NEEDED,2026-06-05 22:50:52,0.467691904695328,0,0
46,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4156,F3898,-0.2584,NO ACTION NEEDED,2026-06-05 22:50:52,0.3759679879949887,0,0
47,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F3898,-0.3027,NO ACTION NEEDED,2026-06-05 22:50:52,0.3542260956431292,0,0
48,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4164,F3898,-0.2012,NO ACTION NEEDED,2026-06-05 22:50:52,0.4069376285079184,0,0
49,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4154,F1921,-0.1061,NO ACTION NEEDED,2026-06-05 22:50:52,0.4236484715425093,0,0
50,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F3898,-0.1749,NO ACTION NEEDED,2026-06-05 22:50:52,0.3403200689390843,0,0
51,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4138,F3534,-0.1773,NO ACTION NEEDED,2026-06-05 22:50:52,0.4626918617802267,0,0
52,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F1921,-0.1113,NO ACTION NEEDED,2026-06-05 22:50:52,0.4854873094242798,0,0
53,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F3534,-0.1296,NO ACTION NEEDED,2026-06-05 22:50:52,0.3814113744023675,0,0
54,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4153,F3898,-0.2206,NO ACTION NEEDED,2026-06-05 22:50:52,0.3605332852625312,0,0
55,1,1,99.94,HIGH RISK,Unnamed__0,5.248,F3912,1.665,F3898,0.1694,BLOCK IMMEDIATELY,2026-06-05 22:50:52,0.3992610078619985,0,1
56,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4149,F3898,-0.2592,NO ACTION NEEDED,2026-06-05 22:50:52,0.3588571713432851,0,0
57,0,0,0.11,SAFE,Unnamed__0,-5.1403,F3912,-1.3272,F3898,-0.2896,NO ACTION NEEDED,2026-06-05 22:50:52,0.525398813573493,1,1
58,0,0,0.16,SAFE,Unnamed__0,-5.1403,F3912,-1.2644,F1165,0.1936,NO ACTION NEEDED,2026-06-05 22:50:52,0.4623160946440079,0,0
59,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3291,F3898,-0.3123,NO ACTION NEEDED,2026-06-05 22:50:52,0.4198816079493474,0,0
60,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F1921,-0.1414,NO ACTION NEEDED,2026-06-05 22:50:52,0.4394255629091081,0,0
61,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F1921,-0.1427,NO ACTION NEEDED,2026-06-05 22:50:52,0.4398704348747703,0,0
62,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3763,F1921,-0.1814,NO ACTION NEEDED,2026-06-05 22:50:52,0.3743838216043563,0,0
63,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4169,F3898,-0.2378,NO ACTION NEEDED,2026-06-05 22:50:52,0.4247014796386821,0,0
64,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4156,F950,-0.0981,NO ACTION NEEDED,2026-06-05 22:50:52,0.3755220349070984,0,0
65,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F1921,-0.221,NO ACTION NEEDED,2026-06-05 22:50:52,0.4181130393043211,0,0
66,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4136,F3898,-0.278,NO ACTION NEEDED,2026-06-05 22:50:52,0.3377478787729274,0,0
67,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F1921,-0.1258,NO ACTION NEEDED,2026-06-05 22:50:52,0.3772429452763481,0,0
68,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3898,-0.2431,NO ACTION NEEDED,2026-06-05 22:50:52,0.4406469182311134,0,0
69,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.415,F3898,-0.3217,NO ACTION NEEDED,2026-06-05 22:50:52,0.3519742221126308,0,0
70,0,0,0.17,SAFE,Unnamed__0,-5.1403,F3912,-1.3165,F1165,0.2862,NO ACTION NEEDED,2026-06-05 22:50:52,0.4693051436028512,0,0
71,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4157,F3898,-0.1894,NO ACTION NEEDED,2026-06-05 22:50:52,0.3720063686480145,0,0
72,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4138,F3898,-0.3207,NO ACTION NEEDED,2026-06-05 22:50:52,0.3450180225920513,0,0
73,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3285,F3898,-0.4084,NO ACTION NEEDED,2026-06-05 22:50:52,0.3393661211269639,0,0
74,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4147,F3898,-0.4015,NO ACTION NEEDED,2026-06-05 22:50:52,0.3852724184693914,0,0
75,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F1921,-0.1181,NO ACTION NEEDED,2026-06-05 22:50:52,0.3620699430361915,0,0
76,0,0,0.12,SAFE,Unnamed__0,-5.1403,F3912,-1.327,freq_amount_ratio,0.1781,NO ACTION NEEDED,2026-06-05 22:50:52,0.3537222389280534,0,0
77,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4143,F3898,-0.273,NO ACTION NEEDED,2026-06-05 22:50:52,0.354601057538831,0,0
78,0,0,0.15,SAFE,Unnamed__0,-5.1403,F3912,-1.4126,F3898,0.1443,NO ACTION NEEDED,2026-06-05 22:50:52,0.3476278465837307,0,0
79,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F1921,-0.1253,NO ACTION NEEDED,2026-06-05 22:50:52,0.3526290086676481,0,0
80,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4147,F3898,-0.3411,NO ACTION NEEDED,2026-06-05 22:50:52,0.3712055831438917,0,0
81,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4165,F3898,-0.2499,NO ACTION NEEDED,2026-06-05 22:50:52,0.3641325338492122,0,0
82,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4144,F3898,-0.2367,NO ACTION NEEDED,2026-06-05 22:50:52,0.4176068068106489,0,0
83,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F3534,-0.1423,NO ACTION NEEDED,2026-06-05 22:50:52,0.3511835614617884,0,0
84,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3534,-0.0973,NO ACTION NEEDED,2026-06-05 22:50:52,0.399392964378537,0,0
85,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3898,0.0916,NO ACTION NEEDED,2026-06-05 22:50:52,0.4157552567008844,0,0
86,0,0,0.13,SAFE,Unnamed__0,-5.1403,F3912,-1.3484,F1165,0.2084,NO ACTION NEEDED,2026-06-05 22:50:52,0.3581533865801414,0,0
87,0,0,0.17,SAFE,Unnamed__0,-5.1403,F3912,-1.2643,F1165,0.1941,NO ACTION NEEDED,2026-06-05 22:50:52,0.3687686175599817,0,0
88,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.3733,F3898,-0.2709,NO ACTION NEEDED,2026-06-05 22:50:52,0.349905768171004,0,0
89,0,0,0.13,SAFE,Unnamed__0,-5.1403,F3912,-1.3196,F1165,0.3308,NO ACTION NEEDED,2026-06-05 22:50:52,0.3597914301390219,0,0
90,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.415,F3898,-0.2252,NO ACTION NEEDED,2026-06-05 22:50:52,0.4518222199770038,0,0
91,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4169,F1921,-0.2,NO ACTION NEEDED,2026-06-05 22:50:52,0.3656088098224931,0,0
92,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4158,F3898,-0.2836,NO ACTION NEEDED,2026-06-05 22:50:52,0.5020992489180081,0,0
93,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.403,F3898,-0.2845,NO ACTION NEEDED,2026-06-05 22:50:52,0.3624744638517273,0,0
94,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.3288,F3534,-0.2048,NO ACTION NEEDED,2026-06-05 22:50:52,0.3350578424780093,0,0
95,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F3799,-0.1445,NO ACTION NEEDED,2026-06-05 22:50:52,0.4083765228657878,0,0
96,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4154,F3898,-0.2282,NO ACTION NEEDED,2026-06-05 22:50:52,0.4342725235232031,0,0
97,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F3898,-0.281,NO ACTION NEEDED,2026-06-05 22:50:52,0.372035000781237,0,0
98,1,1,99.89,HIGH RISK,Unnamed__0,5.248,F3912,1.8041,F1921,-0.1399,BLOCK IMMEDIATELY,2026-06-05 22:50:52,0.3690936919142206,0,1
99,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4167,F3898,-0.2248,NO ACTION NEEDED,2026-06-05 22:50:52,0.5266398406225636,1,1
100,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4154,F3898,-0.1997,NO ACTION NEEDED,2026-06-05 22:50:52,0.3421392142749207,0,0
101,0,0,0.15,SAFE,Unnamed__0,-5.1403,F3912,-1.3227,freq_amount_ratio,0.1843,NO ACTION NEEDED,2026-06-05 22:50:52,0.4069691061116607,0,0
102,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F1921,-0.1638,NO ACTION NEEDED,2026-06-05 22:50:52,0.3408715863821462,0,0
103,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.4145,F1921,-0.1496,NO ACTION NEEDED,2026-06-05 22:50:52,0.357963115312914,0,0
104,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F1921,-0.1105,NO ACTION NEEDED,2026-06-05 22:50:52,0.3464667099191269,0,0
105,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4171,F950,-0.1483,NO ACTION NEEDED,2026-06-05 22:50:52,0.3442982540827832,0,0
106,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4167,F1921,-0.2538,NO ACTION NEEDED,2026-06-05 22:50:52,0.3774230321894591,0,0
107,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4157,F3534,-0.136,NO ACTION NEEDED,2026-06-05 22:50:52,0.3475210767323654,0,0
108,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F3898,-0.2327,NO ACTION NEEDED,2026-06-05 22:50:52,0.4246806704725918,0,0
109,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3898,-0.3071,NO ACTION NEEDED,2026-06-05 22:50:52,0.344162458133904,0,0
110,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4164,F3534,-0.1373,NO ACTION NEEDED,2026-06-05 22:50:52,0.3824802649693985,0,0
111,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.415,F3534,-0.1754,NO ACTION NEEDED,2026-06-05 22:50:52,0.3882355393174743,0,0
112,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4164,F3898,0.1067,NO ACTION NEEDED,2026-06-05 22:50:52,0.3609536011116555,0,0
113,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F3534,-0.1211,NO ACTION NEEDED,2026-06-05 22:50:52,0.4044229389984929,0,0
114,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4165,F3898,-0.2671,NO ACTION NEEDED,2026-06-05 22:50:52,0.4418645112027916,0,0
115,0,0,0.11,SAFE,Unnamed__0,-5.1403,F3912,-1.3188,F3898,-0.3511,NO ACTION NEEDED,2026-06-05 22:50:52,0.41234394066607,0,0
116,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F3898,-0.2592,NO ACTION NEEDED,2026-06-05 22:50:52,0.3330978783864686,0,0
117,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4146,F1921,-0.1776,NO ACTION NEEDED,2026-06-05 22:50:52,0.3614523113842317,0,0
118,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4172,F3898,-0.179,NO ACTION NEEDED,2026-06-05 22:50:52,0.3892189135053593,0,0
119,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F3898,0.1149,NO ACTION NEEDED,2026-06-05 22:50:52,0.3517729167703017,0,0
120,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.417,F1921,-0.1215,NO ACTION NEEDED,2026-06-05 22:50:52,0.3815277057464351,0,0
121,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.417,F3898,-0.2243,NO ACTION NEEDED,2026-06-05 22:50:52,0.3788475184545625,0,0
122,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.417,F1921,-0.182,NO ACTION NEEDED,2026-06-05 22:50:52,0.4463397296049015,0,0
123,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3898,-0.2528,NO ACTION NEEDED,2026-06-05 22:50:52,0.4283120715321735,0,0
124,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4159,F3534,-0.2348,NO ACTION NEEDED,2026-06-05 22:50:52,0.4257501776845171,0,0
125,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.4169,F3898,0.1136,NO ACTION NEEDED,2026-06-05 22:50:52,0.4254585266835127,0,0
126,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4173,F1921,-0.1467,NO ACTION NEEDED,2026-06-05 22:50:52,0.397103868257455,0,0
127,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4163,F3898,-0.244,NO ACTION NEEDED,2026-06-05 22:50:52,0.3493844764220182,0,0
128,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.417,F1921,-0.136,NO ACTION NEEDED,2026-06-05 22:50:52,0.3589745843611122,0,0
129,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4168,F3898,-0.1969,NO ACTION NEEDED,2026-06-05 22:50:52,0.354380764511276,0,0
130,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.3764,F3805,0.1535,NO ACTION NEEDED,2026-06-05 22:50:52,0.4028392384182009,0,0
131,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4146,F1921,-0.2288,NO ACTION NEEDED,2026-06-05 22:50:52,0.3443422718054066,0,0
132,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4133,F3898,-0.1993,NO ACTION NEEDED,2026-06-05 22:50:52,0.3445203363302418,0,0
133,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4153,F3898,-0.2587,NO ACTION NEEDED,2026-06-05 22:50:52,0.4445746476184939,0,0
134,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4165,F950,-0.1142,NO ACTION NEEDED,2026-06-05 22:50:52,0.34464260211148,0,0
135,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4167,F1921,-0.1267,NO ACTION NEEDED,2026-06-05 22:50:52,0.3564117030281711,0,0
136,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F1921,-0.1251,NO ACTION NEEDED,2026-06-05 22:50:52,0.4075327726176461,0,0
137,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.4161,F950,-0.2355,NO ACTION NEEDED,2026-06-05 22:50:52,0.4002849570802599,0,0
138,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F950,-0.1845,NO ACTION NEEDED,2026-06-05 22:50:52,0.4252917591810713,0,0
139,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4162,F1921,-0.1178,NO ACTION NEEDED,2026-06-05 22:50:52,0.3885977557044161,0,0
140,0,0,0.13,SAFE,Unnamed__0,-5.1403,F3912,-1.3105,F1165,0.3472,NO ACTION NEEDED,2026-06-05 22:50:52,0.4127476054849958,0,0
141,0,0,0.13,SAFE,Unnamed__0,-5.1403,F3912,-1.2251,F1165,0.3455,NO ACTION NEEDED,2026-06-05 22:50:52,0.3927587985284545,0,0
142,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4164,F3898,-0.3277,NO ACTION NEEDED,2026-06-05 22:50:52,0.3596856294433389,0,0
143,0,0,0.1,SAFE,Unnamed__0,-5.1403,F3912,-1.4147,F950,-0.1737,NO ACTION NEEDED,2026-06-05 22:50:52,0.4130628268661575,0,0
144,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4161,F1921,-0.1215,NO ACTION NEEDED,2026-06-05 22:50:52,0.361489518024311,0,0
145,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4169,F1921,-0.2255,NO ACTION NEEDED,2026-06-05 22:50:52,0.3760066037983491,0,0
146,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4154,F3898,-0.3298,NO ACTION NEEDED,2026-06-05 22:50:52,0.3728398271979722,0,0
147,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4164,F3898,-0.204,NO ACTION NEEDED,2026-06-05 22:50:52,0.3740460556908721,0,0
148,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4172,F3898,-0.2848,NO ACTION NEEDED,2026-06-05 22:50:52,0.3498032201761104,0,0
149,0,0,0.07,SAFE,Unnamed__0,-5.1403,F3912,-1.4145,F3898,-0.2525,NO ACTION NEEDED,2026-06-05 22:50:52,0.3486690243111827,0,0
150,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.4164,F3898,-0.1829,NO ACTION NEEDED,2026-06-05 22:50:52,0.4318941186049188,0,0
151,0,0,0.06,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F3898,-0.2736,NO ACTION NEEDED,2026-06-05 22:50:52,0.3682378005866459,0,0
152,0,0,0.12,SAFE,Unnamed__0,-5.1403,F3912,-1.3272,F3534,-0.2461,NO ACTION NEEDED,2026-06-05 22:50:52,0.4211325989517447,0,0
153,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.416,F3898,-0.4035,NO ACTION NEEDED,2026-06-05 22:50:52,0.4544869423975232,0,0
154,0,0,0.2,SAFE,Unnamed__0,-5.1403,F3912,-1.2078,F1165,0.5938,NO ACTION NEEDED,2026-06-05 22:50:52,0.4202222535181363,0,0
155,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.4173,F3534,-0.1436,NO ACTION NEEDED,2026-06-05 22:50:52,0.3561312571654121,0,0
156,0,0,0.09,SAFE,Unnamed__0,-5.1403,F3912,-1.3361,F3898,-0.349,NO ACTION NEEDED,2026-06-05 22:50:52,0.3558423674848757,0,0
157,0,0,0.08,SAFE,Unnamed__0,-5.1403,F3912,-1.3495,F3898,-0.2078,NO ACTION NEEDED,2026-06-05 22:50:52,0.3480487988681366,0,0
